// WARNING: Do not edit this file
// Any edits made to this file will be lost if you install a new version of the plugin
// Instead, add custom frame targets in a new file named "ssf_custom.txt"

firetrap,38
firetrk,2
fitegolf,293
fitfight,7
fixeight,749
flashgal,107
flicky,638
flipshot,243
flower,71
flstory,290
flyball,378
flyboy,38
flytiger,144
fncywld,368
fnkyfish,0
foodf,0
footchmp,209
forgottn,594
formatz,455
fourtrax,465
fpoint,325
freekick,0
freeze,4
frenzy,580
friskyt,549
frogger,100
frogs,0
fromanc2,196
fromanc4,600
fromance,421
fromancr,563
frontlin,527
fround,382
fshark,584
fstarfrc,414
ftsoccer,245
funkybee,79
funkyjet,48
funnymou,207
funybubl,48
futspy,161
ga2,16
gaia,309
gaiapols,1299
gakupara,409
gakusai,35
gakusai2,302
gal10ren,229
galaga,875
galaga88,308
galaxian,220
galaxyfg,243
galaxygn,70
galhustl,18
galivan,215
galkaika,241
galkoku,329
galmedes,41
galpani2,979
galpani4,1480
galpanic,120
galpanis,1477
galpans2,289
galspnbl,128
galxwars,0
gametngk,182
gangwars,293
ganryu,243
gaplus,480
gardia,18
garou,243
garyoret,41
gaunt2,95
gauntdl,800|840
gauntdl24,840|880
gauntleg,710|735
gauntleg12,1000|1040
gauntlet,110
gaxeduel,0
gberet,196
gbusters,413
gcpinbal,200
gdarius,0
gdfs,487
geebee,0
gekiretu,637
gekiridn,528
gekiridnj,629
gemini,742
genix,123
genpeitd,324
getstar,0
gfire2,261
gforce2,28
gghost,618
gground,1202
ghoshunt,12
ghostb,22
ghostlop,243
ghouls,1423
ghox,596
gigandes,113
gigasb,26
gigasm2b,26
gigawing,829
gijoe,320
gimeabrk,721
ginganin,36
ginkun,607
gionbana,416
gladiatr,253
glass,591
glfgreat,222
gloc,25
glpracr,517
glpracr2,0
glpracr3,0
gmgalax,474
gmissile,0
gnbarich,645
gng,500
goalx3,243
godzilla,0
gogomile,325
goindol,392
gokuparo,510
goldbug,155
goldmedl,91
goldnaxe,370
golgo13,3122
gollygho,467
gomoku,529
gondo,20
goonies,1030
gorf,9
gotcha,391
gowcaizr,243
gpgolf,401
gpilots,243
gradius3,861
gratia,329
gravitar,60
grchamp,6
grdforce,1223
grdians,515
grdnstrm,38
greatgun,930
gridiron,303
gridlee,22
grindstm,681
grndtour,88
grobda,368
groovef,1231
groundfx,583
growl,347
grudge,553
gseeker,426
gslgr94u,474
gslugrsj,492
gstrik2,41
gstriker,1308
gsword,329
gt103,591
gt2k,398
gt3d,257
gt5,0
gt507uk,0
gt97,359
gt98,429
gt99,397
gtclassc,395
gtg,350
gtg2,350
gtmr,363
gtmr2,285
gtmrusa,350
gtsers1,371
gtsers2,362
guardian,103
gulfstrm,21
gulfwar2,580
gumbo,5
gunbird,384
gunbird2,655
gunbustr,91
gundamex,342
gundealr,220
gundhara,59
gundl94,4
gunfight,565
gunforc2,662
gunforce,609
gunfront,265
gunlock,498
gunmast,211
gunnail,149
gunsmoke,544
gururin,243
gutsn,84
guwange,851
guzzler,148
gwar,252
gwarrior,1258
gypsyjug,90
gyrodine,270
gyruss,0
hachamf,0
hachoo,209
hal21,24
halleys,0
hanaawas,553
hanagumi,1224
hanakanz,522
hanamai,290
hanamomo,192
hanaoji,521
hanaroku,25
hangman,52
hangon,43
hangonjr,103
harddriv,782
harddunk,20
hardhat,2076
hardhea2,826
hardhead,283
hardyard,218
hasamu,308
hatena,222
hatris,674
hattrick,615
hayaosi1,113
hbarrel,310
hcastle,344
hcrash,424
hdrivair,0
headon,0
headon2,0
headoni,0
heartatk,130
heatbrl,0
heberpop,1500
hedpanic,568
heiankyo,83
helifire,44
hellfire,220
hero,65
hexa,5
hexion,399
hgkairak,701
hharry,518
higemaru,94
highsplt,0
hiimpact,1044
hippodrm,2
histryma,37
hitice,332
hitme,0
hitnmiss,0
hkagerou,412
hnayayoi,323
hnoridur,232
hoccer,70
hogalley,12
holeland,176|138
holo,825
homerun,53
hook,582
hoops96,0
hopmappy,40
hopprobo,82
horekid,302
horizon,0
horshoes,647|768
hotblock,329
hotchase,1044
hotdebut,325
hotdogst,17
hotgmck,714
hotgmck3,705
hotmind,76
hotpinbl,18
hotrod,1019
hotshock,66
hotsmash,633
hourouki,13
housemn2,379
housemnq,379
hstennis,224
htchctch,28
hunchbak,204
huncholy,73
hustle,0
hustler,230
hvnsgate,512
hvoltage,286
hvymetal,2845
hwchamp,0
hwrace,219
hydra,194
hyhoo,268
hyhoo2,274
hyperath,1489
hyperpac,67
hyperspt,201
hyprdriv,770
hyprduel,0
hypreac2,796
hypreact,644
iceclimb,8
iceclmrj,8
ichir,73
ichirj,712
idhimitu,0
idolmj,32
idsoccer,260
iemoto,614
igmo,494
ikari,350
ikari3,600
ikki,42
imago,0
imekura,268
imgfight,289
imsorry,287
indyheat,50
indytemp,367
inferno,0
insector,33
insectx,286
intcup94,559
inthunt,633
intrepid,319
introdon,1454
inufuku,692
invad2ct,18
invaders,633
invadpt2,20
invds,55|180
invho2,349
invinco,349
invrvnge,352
ipminvad,31
iqblock,77
irobot,16
ironhors,226
irrmaze,243
ixion,257
jack,314
jackal,412
jackrabt,226
jailbrek,136
jajamaru,4
janbari,204
janjans1,121
janshin,243
jantouki,192
jcross,411
jdredd,985
jdreddp,89
jedi,400
jitsupro,339
jituroku,127
jjack,8
jjparad2,33
jjparads,31
jjsquawk,108
jockeygp,243
joemacr,198
jogakuen,0
joinem,311
jongbou,90
josvolly,0
journey,99
joust,650
joust2,904
joyfulr,0
joyjoy,243
jpark,223
jrpacman,340
jsk,0
jumpbug,90
jumpcoas,348
jumpkids,85
jumppop,19
jumpshot,218
junglek,13
jungler,353
junofrst,30
kabukikl,243
kabukiz,160
kageki,108
kaguya,266
kaguya2,297
kaiserkn,401
kaitei,0
kakumei,74
kakumei2,641
kamenrid,287
kamikcab,5
kanatuen,135
kangaroo,56
kaos,614
karatblz,18
karatour,121
karianx,484
karnov,0
karnovr,243
kazan,28
kbash,1001
kchamp,23
keithlcy,537
kengo,624
kick,228
kickboy,235
kicker,677
kickgoal,23
kicknrun,82
kickoff,20
kickridr,4
kidniki,0
kikcubic,359
kikikai,506
kikstart,132
killcom,145
kingball,330
kingofb,807
kinst,66
kinst2,72
kirameki,611
kirarast,317
kittenk,486|786
kiwame,0
kiwames,0
kizuna,243
klax,1239
knckhead,848|563
kncljoe,364
kngtmare,67
knights,721
kod,552
kodure,427
kof2000,243
kof2001,243
kof2002,243
kof94,243
kof95,243
kof96,243
kof97,243
kof98,243
kof99,243
koikois2,350
koinomp,210
konamigt,475
konotako,535
kopunch,368
korinai,591
korokoro,775
koshien,609
kothello,0
kotm,243
kotm2,243
kouyakyu,259
kov,1208
kram,395
kroozr,78
krull,0
krzybowl,490
ksayakyu,314
kungfum,6
kungfut,1006
kurikint,214
kyros,69
kyukaidk,586|338
kyustrkr,180
ladybug,200
ladyfrog,106
ladykill,188
lagunar,440
landbrk,309
landmakr,665
lasso,571
lastblad,243
lastbld2,243
lastday,0
lastduel,327
lastfort,231
lastmisn,608
lazercmd,0
lbgrande,556
lbowling,243
ldrun,122
ldrun2,31
ldrun3,37
ldrun4,35
le2,748
legend,151
legendos,243
legion,181
legionna,15
lemmings,161
lemnangl,0
leprechn,23
lethalen,0
lethalj,425
lethalth,407
levers,0
lghost,212
lgtnfght,292
liberate,381
liberatr,0
liblrabl,515
liquidk,214
livegal,308
lizwiz,62
lkage,66
llander,3
lnc,363
lockload,549
locomotn,383
loderndf,927
loffire,33
logger,132
logicpr2,417
logicpro,47
loht,502
lomakai,56
looping,8
losttomb,45
lotlot,131
lottofun,0
lrescue,21
lresort,243
lsasquad,315
ltcasin2,165
ltcasino,690
luckywld,40
lupin3,336
lvcards,297
lvgirl94,158
lwings,252
m4,0
m660,74
m79amb,36
mace,431
mach3,833
machbrkr,45|20
machomou,232
macross,375
macross2,254
macrossp,397
madalien,417
madcrash,306
maddonna,31
madgear,237
madmotor,239
madshark,14
magdrop2,243
magdrop3,243
magicbub,201
magix,105
maglord,243
magmax,266
magspot,33
magspot2,33
mahmajn,610
mahmajn2,628
mahoudai,393
mahretsu,243
maiko,241
mainevt,248
mainsnk,36
majs101b,385
majtitl2,1163
majtitle,408
malzak,292
maniach,468
maniacsq,445
manybloc,205
mappy,790
marble,130
marineb,489
marinedt,0
mariner,0
mario,26
markham,4
mars,43
marukin,267
marukodq,243
marvins,67
marvland,0
masterw,43
mastkin,0
matmania,332
matrim,243
mausuke,1198
maxforce,50
maxrpm,34
maya,150
mayday,643
mayhem,98
mayjisn2,250
mayumi,62
maze,500
mazerbla,0
mazinger,297
mcatadv,350
mchampdx,560
mcnpshnt,236
mcontest,208
mdhorse,550
mechatt,380
medlanes,89
megab,77
megadon,320
megaman,485
megaman2,1438
megatack,228
megazone,327
meosism,0
mercs,898
mercsu,1230
merlinmm,417
mermaid,14
metafox,148
metalb,281
metamrph,802
metlclsh,43
metlhawk,985|4
metmqstr,170
metrocrs,225
mf_achas,67|28
mf_bdash,64
mf_brist,0
mf_flip,120
mfjump,0
mfunclub,94
mgakuen,88
mgakuen2,38
mgcldtex,0
mgcrystl,140
mgion,367
mgmen89,211
mgolf,38
mhavoc,155
mhgaiden,221
mhhonban,344
mia,624
midres,8
miexchng,243
mightguy,204
mikie,723
milliped,30
mimonkey,79
minasan,243
minefld,35
minesw4p,0
mineswpr,0
minferno,0
minigolf,586
minivadr,73
mirninja,623
misncrft,560
missile,30
missw96,116
mj4simai,68
mjangels,227
mjcamera,608
mjcamerb,524
mjchuuka,454
mjclinic,0
mjderngr,589
mjdialq2,196
mjdiplob,112
mjegolf,266
mjelctrn,263
mjfocus,230
mjfriday,62
mjgottsu,581
mjgottub,168
mjhokite,172
mjikaga,0
mjkinjas,586
mjkjidai,1
mjkoiura,147
mjkojink,0
mjlaman,0
mjleague,0
mjlstory,354
mjnanpas,168
mjnatsu,84
mjnquest,258
mjreach1,411
mjsikaku,642
mjsister,138
mjuraden,165
mjyougo,0
mjyuugi,76
mjzoomin,40
mk,70
mk2,70
mk3,600
mk4,0
mkeibaou,208
mladyhtr,164
mmaiko,241
mmatrix,596
mmaulers,1304
mmaze,194
mmehyou,124
mmonkey,47
mmpanic,267
mnight,301
mofflott,657
moguchan,94
mogura,492
mole,0
momoko,3
monsterb,105
montecar,183
monymony,229
moo,0
moonal2,344
mooncrst,16
moonqsr,0
moonwar,84
moremore,59
moremorp,59
mosaic,54
mosyougi,243
motofren,519
motos,340
mouja,1411
mouser,9
mp_bio,265
mp_gaxe2,415
mp_soni2,333
mp_sonic,280
mp_sor2,261
mp_twc,287
mpang,510
mpatrol,9
mplanets,980|920
mrdo,547
mrdrillr,578
mrdrilr2,0
mrflea,271
mrgoemon,426
mrjong,271
mrkougar,33
mrokumei,247
mrtnt,0
mrviking,240
msbingo,18
mscoutm,236
msgundam,58
msh,0
mshuttle,502
mshvsf,496
msisaac,0
msjiken,484
mslider,391
mslug,243
mslug2,243
mslug3,243
mslug4,243
mslugx,243
mspacman,294
mspuzzle,53
msword,708
mt_aftrb,108
mt_astrm,0
mt_astro,108
mt_asyn,0
mt_bbros,0
mt_beast,0
mt_eswat,221
mt_fshrk,167
mt_gaxe,0
mt_gaxe2,0
mt_ggolf,0
mt_gng,0
mt_gsocr,0
mt_kcham,0
mt_lastb,0
mt_mwalk,0
mt_mystd,0
mt_parlg,0
mt_revsh,0
mt_shang,117
mt_shar2,0
mt_smgp,0
mt_sonic,0
mt_stbld,0
mt_tetri,0
mt_tfor2,0
mt_tgolf,0
mt_tlbba,0
mt_wcsoc,0
mtlchamp,1341
mtrap,1984
mtwins,537
mugsmash,426
multchmp,766
musobana,415
mustache,302
mustang,26
mutantf,67
mutnat,243
mvp,367
mvsc,1192
mwalk,661
mwarr,16
mx5000,251
myangel,186
myangel2,365
myangel3,596
myhero,20
mysticm,0
mysticri,841
mystston,12
mystwarr,720
nam1975,243
nametune,642
naname,652
narc,923
nastar,142
natodef,349
naughtyb,27
navarone,0
nbahangt,240
nbajam,80
nbajamex,0
nbanfl,0
nbashowt,0
nbbatman,586
ncombat,243
ncommand,243
ncv1,325|50
ncv2,331|53
nebulray,60
neckneck,197
nekkyoku,444
nemesis,460|487
nemo,998
neobattl,360
neobombe,243
neocup98,243
neodrift,243
neomrdo,243
neruton,272
nettoqc,370
netwars,560
newfant,114
news,4
newsin7,179
ngpgal,215
nibbler,183
nightstr,420
ninclown,227
ninjak,148
ninjakd2,623
ninjakun,1582
ninjamas,243
ninjaw,526
ninjemak,48
nitd,243
nitedrvr,636
nitrobal,226
niyanpai,528
nmg5,16
nmouse,39
nmsengen,93
noboranb,13
nomnlnd,11
nost,800
nouryoku,192
nova2001,345
nrallyx,760
nratechu,208
nslasher,0
nspirit,25
nss_actr,0
nss_adam,53
nss_aten,507
nss_con3,176
nss_fzer,0
nss_lwep,449
nss_ncaa,133
nss_rob3,0
nss_skin,0
nss_smw,0
nss_ssoc,349
nss_sten,0
nstocker,616
nsub,10|129
ntopstar,173
numanath,478
nunchaku,30
nvs_machrider,0|2
nvs_mightybj,12
nwarr,495
nycaptor,308
nyny,211
offroad,23
offroadc,817
offroadt,67
offtwall,397
ohmygod,426
oisipuzl,34
ojanko2,6
ojankoc,199
ojankohs,248
ojankoy,2
ojousan,605
olibochu,93
omega,40
omegaf,0
omegrace,0
omotesnd,301
oneshot,76
onetwo,375
onna34ro,52
opengolf,414
openice,1230
opwolf,120
opwolf3,581
orangec,608
orbit,0
orbitron,392
ordyne,471|60
orlegend,1086
orunners,510
oscar,827
osman,44
otatidai,228
othellos,1205
othldrby,435
othunder,115
otonano,522
otwalls,567
outfxies,34
outrun,40
outzone,639
overdriv,414
overtop,243
ozmawars,31
ozon1,3
p47,1532
p47aces,286
pacapp,586
pachiten,142
pacland,158
pacman,300
pacmania,120
pacnpal,803
pacplus,292
paddlema,363
pairlove,189
pairs,178
pairsnb,378
palamed,30
pandoras,390
pang,323
pang3,472
pangpoms,220
panic,27
panicbom,243
panicstr,511
paperboy,120
paradise,137
parodius,1220
pass,160
passsht,4
pastelg,170
patimono,140|147
pbaction,632
pballoon,10
pbancho,2
pbillian,821
pbillrd,3
pblbeach,0
pbobbl2n,243
pbobble,260
pbobble2,517
pbobble3,697
pbobble4,947
pbobblen,243
pc_1942,411
pc_bball,419
pc_bfght,435
pc_bstar,423
pc_cntra,340
pc_cshwk,418
pc_cvnia,413
pc_dbldr,418
pc_ddrgn,415
pc_drmro,406
pc_duckh,374
pc_ebike,421
pc_ftqst,416
pc_gntlt,418
pc_golf,415
pc_goons,341
pc_grdus,416
pc_hgaly,399
pc_kngfu,424
pc_mario,423
pc_miket,422
pc_mman3,339
pc_moglf,431
pc_mtoid,421
pc_ngai2,333
pc_ngai3,338
pc_ngaid,421
pc_pinbt,408
pc_pwbld,410
pc_pwrst,410
pc_radr2,410
pc_radrc,421
pc_rcpam,413
pc_rkats,418
pc_rnatk,413
pc_rrngr,342
pc_rygar,417
pc_sjetm,379
pc_smb,423
pc_smb2,396
pc_smb3,423
pc_suprc,352
pc_tbowl,347
pc_tenis,419
pc_tkfld,392
pc_tmnt,658
pc_tmnt2,419
pc_trjan,404
pc_vball,415
pc_wcup,426
pc_wgnmn,414
pc_ynoid,413
pcktgal,3
pclubys,0
pdrift,37
peekaboo,48
peggle,475
penbros,160
pengo,523
pepper2,2278
percuss,82
perestro,543
perfrman,70
peterpak,169
pettanp,13
pgoal,243
phantom2,0
phelios,402|78
phoenix,17
photoy2k,1137
phozon,735
pickin,7
pignewt,6
pigout,17
pigskin,92
pinbo,523
pingpong,391
pipedrm,1261
pipibibs,615
pirates,122
piratetr,0
pisces,0
pistoldm,736|148
pitfall2,13
pitfight,67
pitnrun,218
pkgnsh,19
pkgnshdx,51
pkladies,17
pkscram,6
pktgaldx,6
pkunwar,377
platoon,21
playball,640
pleiads,4
plgirls,123
plgirls2,253
plotting,172
plsmaswd,404
plumppop,556
plusalph,150
plygonet,1707
pnickj,351
poitto,225
pokrdice,336
polaris,77
polepos,372
polepos2,370
policetr,70
pollux,12
polyplay,0
ponchin,186
ponpoko,464
poolshrk,66
pooyan,132
popbingo,12
popbounc,243
popeye,20
popflame,29
popnpop,501
popper,154
porky,244
portrait,156
potopoto,665
poundfor,679
pow,1018
powerdrv,74
powerins,551
powrplay,17
powyak96,1535
ppking,218
prehisle,274
preisle2,243
prikura,1180
primglex,0
primrag2,0
primrage,132
prmrsocr,580
profpac,1035
progear,940
progress,329
promutrv,7
propcycl,20
prosoccr,74
prosport,24
prtytime,44
psailor1,144
psailor2,226
pspikes,41
pspikes2,243
pstadium,164
psurge,102
psychic5,42
psychos,239
psyforce,0
ptblank,223
ptblank2,48
puchicar,464
